City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,port mathurin,-19.6833,63.4167,24.44,80,5,5.92,MU,1698027135
137,sandnessjoen,66.0217,12.6316,-2.71,50,100,3.85,NO,1698027135
138,puerto ayora,-0.7393,-90.3518,23.28,84,92,5.06,EC,1698027135
139,great falls,47.5002,-111.3008,7.69,82,100,2.06,US,1698026918
140,gwadar,25.1216,62.3254,25.82,77,0,3.4,PK,1698027136
141,punta arenas,-53.15,-70.9167,6.06,70,40,3.09,CL,1698027136
142,klyuchi,52.2667,79.1667,3.04,94,100,12.6,RU,1698027137
143,nogliki,51.8333,143.1667,4.56,44,8,8.28,RU,1698026995
144,port-vila,-17.7338,168.3219,25.78,78,100,6.17,VU,1698027137
145,salekhard,66.53,66.6019,-3.17,93,100,3.47,RU,1698027138
146,reyes,-14.3167,-67.3833,32.17,33,90,1.72,BO,1698027138
147,thompson,55.7435,-97.8558,-2.78,66,45,1.76,CA,1698026891
148,pasighat,28.0667,95.3333,23.4,40,0,0.71,IN,1698026900
149,hermanus,-34.4187,19.2345,16.0,74,100,3.13,ZA,1698027140
150,vorgashor,67.5833,63.95,-10.81,97,99,2.05,RU,1698027141
151,whitehorse,60.7161,-135.0538,-7.86,57,27,1.34,CA,1698026907
152,saint-pierre,-21.3393,55.4781,20.8,68,0,3.09,RE,1698027143
153,tumut,-35.3,148.2167,20.51,39,0,4.79,AU,1698027144
154,beyneu,45.3167,55.2,5.08,61,68,1.39,KZ,1698027145
155,chonchi,-42.6128,-73.8092,8.4,96,4,1.94,CL,1698027146
156,nova sintra,14.8667,-24.7167,23.73,75,16,2.51,CV,1698027148
157,mana,5.6592,-53.7767,26.14,91,61,4.04,GF,1698027150
158,port elizabeth,-33.918,25.5701,14.62,80,0,6.69,ZA,1698027151
159,mogocha,53.7333,119.7667,2.45,53,100,1.44,RU,1698027151
160,gorontalo,0.5412,123.0595,31.91,58,59,1.94,ID,1698026977
161,ancud,-41.8697,-73.8203,8.05,86,0,0.41,CL,1698027152
162,kisanga,-7.4362,37.7034,22.39,83,6,1.0,TZ,1698027153
163,al mijlad,11.0333,27.7333,27.2,57,5,2.54,SD,1698027153
164,hayvoron,48.3396,29.8679,16.23,62,0,5.17,UA,1698027154
165,thinadhoo,0.5333,72.9333,26.87,75,99,5.32,MV,1698027154
166,tucurui,-3.7661,-49.6725,26.97,73,79,1.41,BR,1698027155
